Lat	Long	Speed	Temp	Sal	Chla
30.49665333	128.1863067	14.6	24.704	34.249	2.4
30.49324833	128.1836783	14.6	24.697	34.24	2.56
30.48984833	128.1810683	14.6	24.687	34.223	2.58
30.48648	128.178375	14.6	24.693	34.222	2.49
30.48308	128.1758017	14.6	24.688	34.226	2.57
30.47971167	128.17315	14.7	24.685	34.213	2.4
30.4763	128.1704983	14.7	24.679	34.213	2.37
30.47290833	128.167865	14.6	24.672	34.206	2.29
30.46952667	128.165305	14.5	24.659	34.199	2.08
30.46615333	128.1626583	14.6	24.659	34.209	1.94
30.462755	128.1600167	14.6	24.662	34.223	1.88
30.45935333	128.15739	14.7	24.682	34.253	1.9
30.455955	128.1547433	14.7	24.72	34.294	1.73
30.45256667	128.1521167	14.6	24.763	34.335	1.79
30.44917333	128.1495083	14.6	24.822	34.383	1.56
30.44578	128.1468983	14.6	24.9	34.448	1.43
30.44239667	128.14428	14.6	24.948	34.483	1.39
30.43902667	128.1416833	14.6	25.012	34.517	1.27
30.43564167	128.1390417	14.6	25.065	34.534	1.25
30.43228333	128.1364117	14.6	25.102	34.543	1.21
30.42891167	128.1337967	14.5	25.109	34.548	1.17
30.425545	128.13117	14.5	25.141	34.562	1.2
30.42218	128.1285817	14.5	25.154	34.576	1.14
30.41881	128.1259967	14.5	25.173	34.586	1.17
30.415465	128.1233483	14.5	25.213	34.632	1.06
30.41211	128.1207517	14.5	25.271	34.675	0.91
30.40876667	128.1181083	14.5	25.319	34.704	0.84
30.405405	128.1154967	14.5	25.391	34.736	0.78
30.40204167	128.112885	14.4	25.45	34.763	0.76
30.398675	128.110245	14.5	25.481	34.776	0.7
30.39531167	128.1076367	14.5	25.513	34.788	0.69
30.39194333	128.1049733	14.6	25.561	34.804	0.71
30.38856833	128.1023533	14.6	25.573	34.808	0.66
30.38518	128.09973	14.6	25.587	34.813	0.66
30.38182667	128.0970667	14.5	25.602	34.804	0.67
30.37847667	128.094415	14.5	25.601	34.814	0.63
30.37511	128.0918	14.5	25.62	34.813	0.64
30.37177167	128.0891567	14.5	25.622	34.812	0.65
30.368415	128.086545	14.5	25.637	34.81	0.62
30.36505667	128.08394	14.5	25.631	34.822	0.64
30.36168833	128.0812833	14.5	25.649	34.816	0.61
30.35832833	128.0786283	14.6	25.652	34.811	0.61
30.35499167	128.07594	14.5	25.652	34.806	0.54
30.35166167	128.0732733	14.5	25.648	34.803	0.49
30.34831833	128.0706067	14.6	25.641	34.796	0.52
30.34497333	128.06792	14.6	25.64	34.796	0.54
30.34163167	128.06523	14.6	25.652	34.809	0.52
