Site1	Site2	Dist_Bray	Sim_Bray
12	28	0.5938516109961572	0.40614838900384276
13	28	0.5968814661543009	0.40311853384569907
14	28	0.5702778598876737	0.42972214011232635
15	28	0.3890038427431274	0.6109961572568726
16	28	0.35900088678687553	0.6409991132131245
17	28	0.2834497284114843	0.7165502715885157
18	28	0.25310375406443986	0.7468962459355601
19	28	0.25115471307689463	0.7488452869231054
20	28	0.468740762636713	0.531259237363287
21	28	0.5116021282885014	0.4883978717114986
22	28	0.4982264262488915	0.5017735737511084
23	28	0.23078628436299142	0.7692137156370086
24	28	0.6694501921371564	0.3305498078628436
25	28	0.6219331953887083	0.3780668046112917
26	28	0.6258498374224062	0.3741501625775938
27	28	0.4131687851019805	0.5868312148980195
1	29	0.8044562687063519	0.1955437312936481
2	29	0.7841333185530059	0.21586668144699406
3	29	0.7831725972730296	0.21682740272697043
4	29	0.670916010789639	0.32908398921036097
5	29	0.6143812585448768	0.3856187414551232
6	29	0.7938144329896907	0.20618556701030932
7	29	0.7581938439936444	0.24180615600635558
8	29	0.7671359420611167	0.23286405793888332
9	29	0.73912722166796	0.26087277833204003
10	29	0.6516276835531907	0.3483723164468093
11	29	0.6505930606362931	0.3494069393637069
12	29	0.7102316816317481	0.2897683183682519
13	29	0.717917451871559	0.282082548128441
14	29	0.6912389609429849	0.30876103905701513
15	29	0.5246646713224697	0.47533532867753026
16	29	0.46606067324391237	0.5339393267560877
17	29	0.3339738378538172	0.6660261621461828
18	29	0.2753944499870672	0.7246055500129328
19	29	0.24196290000739043	0.7580370999926096
20	29	0.6047740457451133	0.3952259542548867
21	29	0.634778110335144	0.365221889664856
22	29	0.6231755533385065	0.3768244466614935
23	29	0.23386173003732033	0.7661382699626796
24	29	0.7304807301481728	0.26951926985182717
25	29	0.6840705021616229	0.3159294978383771
26	29	0.6903521412999298	0.30964785870007017
27	29	0.5355282119498946	0.46447178805010536
28	29	0.2799231366172721	0.7200768633827279
1	30	0.7631715066873568	0.23682849331264322
2	30	0.755634375230917	0.24436562476908297
3	30	0.7504618340353211	0.24953816596467893
